iter	Passed	Remaining
477	1238	315
478	1240	313
479	1242	310
480	1245	308
481	1247	305
482	1249	302
483	1252	300
484	1254	297
485	1256	294
486	1259	292
487	1262	289
488	1264	287
489	1266	284
490	1269	281
491	1272	279
492	1274	276
493	1277	274
494	1279	271
495	1282	268
496	1284	266
497	1286	263
498	1289	260
499	1291	258
500	1294	255
501	1296	253
502	1298	250
503	1301	247
504	1303	245
505	1308	243
506	1312	240
507	1315	238
508	1317	235
509	1319	232
510	1322	230
511	1325	227
512	1328	225
513	1330	222
514	1333	220
515	1335	217
516	1338	214
517	1340	212
518	1343	209
519	1346	207
520	1348	204
521	1351	201
522	1353	199
523	1356	196
524	1358	194
525	1360	191
526	1363	188
527	1366	186
528	1369	183
529	1372	181
530	1374	178
531	1377	176
532	1380	173
533	1382	170
534	1385	168
535	1387	165
536	1390	163
537	1392	160
538	1394	157
539	1397	155
540	1399	152
541	1402	150
542	1404	147
543	1406	144
544	1409	142
545	1411	139
546	1414	137
547	1416	134
548	1418	131
549	1420	129
550	1423	126
551	1426	124
552	1428	121
553	1430	118
554	1432	116
555	1435	113
556	1437	110
557	1440	108
558	1442	105
559	1445	103
560	1447	100
561	1449	98
562	1452	95
563	1454	92
564	1457	90
565	1459	87
566	1462	85
567	1464	82
568	1466	79
569	1469	77
570	1471	74
571	1474	72
572	1476	69
573	1479	67
574	1481	64
575	1484	61
576	1486	59
577	1488	56
578	1491	54
579	1494	51
580	1496	48
581	1498	46
582	1501	43
583	1503	41
584	1505	38
585	1508	36
586	1510	33
587	1512	30
588	1515	28
589	1517	25
590	1519	23
591	1522	20
592	1524	17
593	1527	15
594	1529	12
595	1531	10
596	1534	7
597	1536	5
598	1539	2
599	1541	0
