iter	Logloss
0	0.6311819007
1	0.5804111272
2	0.5389898772
3	0.4981452339
4	0.4614342362
5	0.4268724227
6	0.398184547
7	0.3730250745
8	0.3520834933
9	0.3362073488
10	0.3197162621
11	0.3051872903
12	0.2914342711
13	0.2755814693
14	0.2657582381
15	0.2552476776
16	0.2432145258
17	0.2334291049
18	0.2246567287
19	0.2193179613
20	0.2122251035
21	0.2085789636
22	0.2021232197
23	0.1980751218
24	0.1928329628
25	0.1870732906
26	0.1820679195
27	0.1787339955
28	0.1747621823
29	0.1725354328
30	0.1694462003
31	0.1660486369
32	0.1638441893
33	0.1603019547
34	0.1576193617
35	0.1554838798
36	0.1534021684
37	0.1516416413
38	0.1493503335
39	0.147336
40	0.1461563034
41	0.1447948791
42	0.1426126601
43	0.1408653823
44	0.139150859
45	0.1381791266
46	0.1363900228
47	0.135015891
48	0.1332434942
49	0.1318668697
50	0.1307293493
51	0.1292859764
52	0.1281996189
53	0.1270383124
54	0.1256679778
55	0.1240518951
56	0.1235083615
57	0.1222365939
58	0.1211826949
59	0.1203278513
60	0.1195854552
61	0.1184719326
62	0.1176386838
63	0.1166030458
64	0.1160576926
65	0.1153866624
66	0.1144835343
67	0.1133898598
68	0.1125990806
69	0.111557389
70	0.1103528526
71	0.1093008682
72	0.1081385564
73	0.1076466076
74	0.1069387984
75	0.1061810742
76	0.1052391162
77	0.104450942
78	0.103557204
79	0.1026350772
80	0.1022476966
81	0.1013894531
82	0.1003859281
83	0.09973882171
84	0.0994015627
85	0.09878161669
86	0.09814329045
87	0.09780834204
88	0.09697110912
89	0.0960204713
90	0.09577682139
91	0.09509413236
92	0.09415532213
93	0.09337893829
94	0.0927136255
95	0.09227830168
96	0.0918179065
97	0.09092871597
98	0.09022834735
99	0.08930471671
100	0.08899348499
101	0.08823529504
102	0.08788599961
103	0.0873796297
104	0.08701863299
105	0.0865116399
106	0.08629107605
107	0.08579128385
108	0.08546298978
109	0.08501482701
110	0.08477096306
111	0.08423229084
112	0.08382667584
113	0.0832433211
114	0.08246352025
115	0.08156986048
116	0.08087893241
117	0.08059833528
118	0.08020123774
119	0.07981553785
120	0.07959947976
121	0.07935982072
122	0.07871868014
123	0.07839473287
124	0.07795231184
125	0.07751685524
126	0.0772789084
127	0.0769383082
128	0.07647142991
129	0.07590985088
130	0.07537416436
131	0.07488165832
132	0.07438316056
133	0.07411791405
134	0.07369266488
135	0.07330313471
136	0.07269292511
137	0.07208967464
138	0.07154040534
139	0.07088649255
140	0.07045525085
141	0.07009341011
142	0.06977265957
143	0.06928492837
144	0.06874561781
145	0.0685751411
146	0.0682548074
147	0.06784809208
148	0.06731827682
149	0.06651720826
150	0.06602320899
151	0.06580769179
152	0.06542660679
153	0.06510826008
154	0.06463521046
155	0.06413287399
156	0.06386912078
157	0.0634698418
158	0.06297936706
159	0.0627131509
160	0.06228866367
161	0.06215206438
162	0.06199343521
163	0.06161666542
164	0.06127760511
165	0.060967322
166	0.06036596003
167	0.05997699891
168	0.05971812145
169	0.05939511614
170	0.0591658516
171	0.05885696548
172	0.05858357783
173	0.05818179823
174	0.05778123113
175	0.05751192192
176	0.05727866539
177	0.05676044978
178	0.05620441389
179	0.05605953943
180	0.05576229745
181	0.05537135809
182	0.05497071125
183	0.05474494606
184	0.05431869769
185	0.05396431224
186	0.05344953181
187	0.05322246403
188	0.05309139688
189	0.05268801106
190	0.05255197027
191	0.05203582037
192	0.05172432147
193	0.05155811062
194	0.05083758942
195	0.05058595102
196	0.05042749678
197	0.04991457847
198	0.04972844896
199	0.0496521901
200	0.04940163766
201	0.04930218231
202	0.049179169
203	0.048812652
204	0.04857888421
205	0.04840263292
206	0.04832623865
207	0.0479311883
208	0.04777415632
209	0.0475680074
210	0.04707295414
211	0.04677003778
212	0.04657216083
213	0.04640792803
214	0.04607404659
215	0.0460105725
216	0.0453634151
217	0.04516787286
218	0.04495816963
219	0.04458807359
220	0.04429471136
221	0.04422245482
222	0.04411410376
223	0.0438779986
224	0.04372376881
225	0.04321861706
226	0.04303313548
227	0.04276742099
228	0.04231826369
229	0.04196130909
230	0.04187441039
231	0.04162834656
232	0.04143553143
233	0.04128780811
234	0.04105053504
235	0.04100568327
236	0.04092221893
237	0.04059666604
238	0.04037513073
239	0.04031403063
240	0.04007271666
241	0.04002756977
242	0.03990698601
243	0.03965861051
244	0.03936683595
245	0.03908748679
246	0.03891479239
247	0.03887066349
248	0.03873249954
249	0.03849925035
250	0.03817555427
251	0.03794415106
252	0.03770466667
253	0.03748887739
254	0.0373436608
255	0.0372924182
256	0.03706395441
257	0.03686735034
258	0.03663564333
259	0.03648564085
260	0.03634179233
261	0.03625872846
262	0.03616721856
263	0.03606346494
264	0.03570966716
265	0.03548014181
266	0.03540421671
267	0.03516116756
268	0.03504138916
269	0.03492187839
270	0.03489110596
271	0.0345550651
272	0.03437882967
273	0.03410369857
274	0.03388839409
275	0.03361830219
276	0.03358147273
277	0.03341540624
278	0.03332579801
279	0.03304381867
280	0.0328664125
281	0.03255100781
282	0.03225427505
283	0.03219050688
284	0.03208908881
285	0.03200608958
286	0.03163289908
287	0.03141430653
288	0.03129669198
289	0.03098179751
290	0.03072009772
291	0.03046614975
292	0.03018788314
293	0.03001726697
294	0.02986592601
295	0.0296074244
296	0.02929159659
297	0.02893726649
298	0.02888178136
299	0.02865825081
300	0.02848783748
301	0.0282959479
302	0.0280732293
303	0.02800586264
304	0.02790434041
305	0.02773335064
306	0.02749745516
307	0.02745143476
308	0.02728252876
309	0.02718239341
310	0.02710323537
311	0.02704219445
312	0.02700765246
313	0.02679938224
314	0.02675155377
315	0.02657649221
316	0.02641840274
317	0.02625236154
318	0.02608714967
319	0.02592586788
320	0.02567427706
321	0.02546682783
322	0.02523811008
323	0.02515477847
324	0.02506371052
325	0.02487405838
326	0.02482070727
327	0.02471492301
328	0.0245619963
329	0.0243047083
330	0.02411611188
331	0.02408070796
332	0.02386118026
333	0.02356340719
334	0.0234034396
335	0.02326693324
336	0.02317610141
337	0.02300921348
338	0.02288896333
339	0.02278998897
340	0.02268307712
341	0.02256182558
342	0.02254746102
343	0.02242830813
344	0.0223170807
345	0.02215239944
346	0.02209917267
347	0.02202723698
348	0.02194884253
349	0.02191982736
350	0.02187560174
351	0.02171427474
352	0.02159362482
353	0.02148367107
354	0.02142446089
355	0.02133529532
356	0.02120537227
357	0.02117805748
358	0.0210337132
359	0.02091794126
360	0.02090296702
361	0.02074077735
362	0.02060701037
363	0.02046191757
364	0.02029032369
365	0.02020976437
366	0.02011350046
367	0.02007602797
368	0.0199787754
369	0.01995125249
370	0.01977278316
371	0.01963403312
372	0.01955653122
373	0.0194680796
374	0.01944730271
375	0.01937240697
376	0.01931143467
377	0.0192178203
378	0.01912242938
379	0.01899921284
380	0.01886895406
381	0.01877001155
382	0.01870975811
383	0.01859861834
384	0.01847130473
385	0.01844921857
386	0.01827340395
387	0.01820906361
388	0.0181197628
389	0.01804489679
390	0.01802745182
391	0.01795079486
392	0.01789865077
393	0.01786564512
394	0.01780236656
395	0.01778326067
396	0.01772877609
397	0.01759463111
398	0.01748275852
399	0.01744382387
400	0.01736745375
401	0.0172919832
402	0.01717619304
403	0.01712524339
404	0.01704762239
405	0.01703474601
406	0.01695837851
407	0.01685127435
408	0.01681442842
409	0.01675831383
410	0.01674408552
411	0.01660156899
412	0.01649123573
413	0.01642232797
414	0.01636809142
415	0.01625405672
416	0.01619867651
417	0.01606350945
418	0.01602020402
419	0.01597092078
420	0.01590743091
421	0.0158325477
422	0.01577457355
423	0.01565477684
424	0.01563181288
425	0.0156144666
426	0.01555659517
427	0.01547719385
428	0.0154361877
429	0.01535653879
430	0.01521460733
431	0.01514876818
432	0.01509465616
433	0.01505267161
434	0.01499818088
435	0.01498665322
436	0.01493776746
437	0.01492314119
438	0.01489610151
439	0.01484725906
440	0.01481046314
441	0.01474280521
442	0.01466952467
443	0.0145827245
444	0.01453348059
445	0.01450730536
446	0.01442578106
447	0.01435428586
448	0.01427162055
449	0.01414535453
450	0.01408027433
451	0.01406298943
452	0.01405375703
453	0.01401278188
454	0.01398969508
455	0.01391500086
456	0.01383882929
457	0.01377998632
458	0.01374587793
459	0.01373108918
460	0.01368588473
461	0.01367358819
462	0.01361865117
463	0.01355034087
464	0.01346794264
465	0.01341591909
466	0.01336581168
467	0.01333114851
468	0.01329328456
469	0.0132797776
470	0.01322965125
471	0.01316624049
472	0.01310902553
473	0.0130429126
474	0.01301978709
475	0.01296633195
476	0.01288577054
477	0.01282810234
478	0.01273003689
479	0.01272145563
480	0.01263439365
481	0.01259084084
482	0.01256800071
483	0.01253709153
484	0.01252724983
485	0.01247017337
486	0.01245672154
487	0.01244853282
488	0.01239786831
489	0.01233809925
490	0.01226812731
491	0.01218276566
492	0.01217104182
493	0.01215288234
494	0.01213855456
495	0.01211698937
496	0.01206784767
497	0.01202171076
498	0.01199451256
499	0.01188687719
500	0.01187076226
501	0.01184905765
502	0.01175855392
503	0.01173375304
504	0.01172593878
505	0.01168344662
506	0.01164075603
507	0.01161268139
508	0.01156868608
509	0.01154756306
510	0.01151608013
511	0.0115011789
512	0.01147836379
513	0.01147098037
514	0.01142609115
515	0.01141737774
516	0.01138915745
517	0.01138151232
518	0.01133970756
519	0.01132983845
520	0.01128708744
521	0.01123497996
522	0.0112284627
523	0.01120576559
524	0.0111613574
525	0.01115355418
526	0.01114790872
527	0.01111259007
528	0.01105344965
529	0.01102399172
530	0.01095695792
531	0.01094727673
532	0.0109292454
533	0.01086060197
534	0.01077788517
535	0.01075383766
536	0.01071689969
537	0.01069660736
538	0.01064881636
539	0.01064289245
540	0.01061570221
541	0.01058375213
542	0.01057501005
543	0.01054493339
544	0.01050081408
545	0.01047720193
546	0.01044520532
547	0.01042322432
548	0.01037792598
549	0.01036461942
550	0.01031035882
551	0.01027659992
552	0.01026929412
553	0.01026227056
554	0.01021390398
555	0.01020834993
556	0.01018472668
557	0.01013218216
558	0.01011100189
559	0.01006113756
560	0.0100543445
561	0.01002763709
562	0.009954807596
563	0.009944882231
564	0.009875340039
565	0.009847616717
566	0.009793321451
567	0.009769753614
568	0.009742006037
569	0.009718350792
570	0.009639906072
571	0.009586153003
572	0.009560384211
573	0.009555549101
574	0.009531709872
575	0.009461014243
576	0.009432344977
577	0.00941508367
578	0.009391121297
579	0.009347725444
580	0.009317031964
581	0.009298704415
582	0.009253565187
583	0.009241417447
584	0.0092179511
585	0.009185010227
586	0.009146070502
587	0.009111697312
588	0.009105266801
589	0.009085052495
590	0.009081089856
591	0.009076187181
592	0.009069408458
593	0.009038951571
594	0.00900897966
595	0.008991892428
596	0.008985470675
597	0.008940587663
598	0.008905780824
599	0.008874236772
